34,Iowa,721,46,54,70,81,24,26,25,28,28,32,34,36,39,43,44,52,58,65,65,71,77,85,83,86,95,93,94,99,100,99
35,Louisiana,3288,165,230,326,391,103,110,119,127,137,161,175,196,212,233,250,311,345,372,395,432,456,506,528,561,569,584,586,608,619,631
36,Ohio,2911,223,314,462,566,91,101,111,124,130,154,164,184,203,219,244,304,337,370,405,446,470,555,581,590,599,628,646,663,698,683
37,Michigan,6218,81,104,151,194,29,31,31,31,34,38,43,46,51,57,64,79,90,98,115,128,131,161,166,172,181,187,195,197,200,204
38,South Dakota,97,0,0,3,5,4,5,5,5,5,6,6,6,6,7,8,10,10,11,12,13,14,16,17,17,18,19,17,18,20,21
39,Arkansas,287,50,45,44,44,23,24,24,23,24,27,27,28,30,31,32,35,36,40,42,41,43,46,47,47,47,49,51,53,51,53
40,Delaware,512,26,38,53,62,9,10,11,12,13,15,17,17,20,22,23,28,32,35,38,41,45,51,53,56,58,60,58,63,67,65
41,Mississippi,1111,112,113,128,136,44,47,51,51,53,61,62,66,70,75,79,89,92,99,106,109,114,120,127,130,137,137,135,145,144,146
42,New Mexico,513,15,19,21,21,21,22,23,24,25,24,25,26,28,29,31,35,35,41,40,44,46,51,51,53,53,55,59,59,61,60
43,North Dakota,80,0,1,6,7,2,2,2,3,3,4,3,4,4,4,5,5,7,7,7,8,9,10,10,11,11,12,11,12,12,12
44,Wyoming,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
45,Alaska,16,0,0,4,7,2,2,3,3,3,3,3,3,3,3,4,5,5,6,6,7,9,10,10,10,11,11,11,12,12,12
46,Maine,109,11,14,16,19,2,2,3,3,2,3,3,3,3,3,4,4,4,5,6,6,5,6,7,7,7,8,7,8,8,8
47,Alabama,1007,201,231,297,347,41,44,46,50,52,58,63,69,73,80,85,100,113,117,136,134,147,158,169,173,181,180,183,192,196,200
48,Idaho,93,23,42,62,77,5,6,5,6,7,8,10,10,11,13,15,17,19,21,23,27,26,32,33,34,37,36,38,37,39,38
49,Montana,23,0,0,0,4,2,2,2,2,2,2,3,2,2,3,3,4,5,6,6,6,7,8,9,9,9,10,9,10,10,11
50,Puerto Rico,155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,94,0,1,6,7,2,2,3,3,3,3,4,4,5,5,5,7,8,9,10,10,10,12,13,13,13,13,14,15,15,15
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
