"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,South Dakota,2021,43,1203,0,0,0,0,0
States,Tennessee,2021,43,27,1,0,3.7,3.7,0
States,Texas,2021,43,4608,5,7,0.26,0.11,0.15
States,Utah,2021,43,X,X,X,X,X,X
States,Vermont,2021,43,137,0,0,0,0,0
States,Virginia,2021,43,493,1,0,0.2,0.2,0
States,Washington,2021,43,1621,1,1,0.12,0.06,0.06
States,West Virginia,2021,43,1289,0,0,0,0,0
States,Wisconsin,2021,43,6208,3,2,0.08,0.05,0.03
States,Wyoming,2021,43,X,X,X,X,X,X
States,Puerto Rico,2021,43,0,0,0,0,0,0
States,Virgin Islands,2021,43,X,X,X,X,X,X
States,New York City,2021,43,X,X,X,X,X,X
States,Alabama,2021,44,490,2,1,0.61,0.41,0.2
States,Alaska,2021,44,X,X,X,X,X,X
States,Arizona,2021,44,423,0,0,0,0,0
States,Arkansas,2021,44,24,0,0,0,0,0
States,California,2021,44,5884,23,4,0.46,0.39,0.07
States,Colorado,2021,44,1743,0,0,0,0,0
States,Connecticut,2021,44,721,3,0,0.42,0.42,0
States,Delaware,2021,44,X,X,X,X,X,X
States,District of Columbia,2021,44,X,X,X,X,X,X
States,Florida,2021,44,849,10,0,1.18,1.18,0
States,Georgia,2021,44,1510,10,9,1.26,0.66,0.6
States,Hawaii,2021,44,500,0,1,0.2,0,0.2
States,Idaho,2021,44,154,0,0,0,0,0
States,Illinois,2021,44,300,0,0,0,0,0
States,Indiana,2021,44,442,1,0,0.23,0.23,0
States,Iowa,2021,44,1255,0,0,0,0,0
States,Kansas,2021,44,194,0,0,0,0,0
States,Kentucky,2021,44,1249,1,0,0.08,0.08,0
States,Louisiana,2021,44,204,1,0,0.49,0.49,0
States,Maine,2021,44,286,0,0,0,0,0
States,Maryland,2021,44,628,1,0,0.16,0.16,0
States,Massachusetts,2021,44,957,4,0,0.42,0.42,0
States,Michigan,2021,44,429,3,0,0.7,0.7,0
States,Minnesota,2021,44,1785,5,1,0.34,0.28,0.06
States,Mississippi,2021,44,34,0,0,0,0,0
States,Missouri,2021,44,1853,1,0,0.05,0.05,0
States,Montana,2021,44,894,3,0,0.34,0.34,0
States,Nebraska,2021,44,190,2,1,1.58,1.05,0.53
States,Nevada,2021,44,X,X,X,X,X,X
States,New Hampshire,2021,44,X,X,X,X,X,X
States,New Jersey,2021,44,X,X,X,X,X,X
States,New Mexico,2021,44,3598,0,1,0.03,0,0.03
States,New York,2021,44,4981,14,1,0.3,0.28,0.02
States,North Carolina,2021,44,X,X,X,X,X,X
States,North Dakota,2021,44,X,X,X,X,X,X
States,Ohio,2021,44,1092,2,0,0.18,0.18,0
States,Oklahoma,2021,44,698,1,0,0.14,0.14,0
States,Oregon,2021,44,3969,0,2,0.05,0,0.05
States,Pennsylvania,2021,44,547,0,0,0,0,0
States,Rhode Island,2021,44,X,X,X,X,X,X
States,South Carolina,2021,44,260,5,1,2.31,1.92,0.38
States,South Dakota,2021,44,1339,0,1,0.07,0,0.07
States,Tennessee,2021,44,53,0,0,0,0,0
States,Texas,2021,44,4616,2,3,0.11,0.04,0.06
States,Utah,2021,44,X,X,X,X,X,X
States,Vermont,2021,44,158,0,0,0,0,0
States,Virginia,2021,44,583,14,0,2.4,2.4,0
States,Washington,2021,44,1657,0,0,0,0,0
States,West Virginia,2021,44,1579,0,0,0,0,0
States,Wisconsin,2021,44,8085,13,10,0.28,0.16,0.12
States,Wyoming,2021,44,X,X,X,X,X,X
States,Puerto Rico,2021,44,0,0,0,0,0,0
States,Virgin Islands,2021,44,X,X,X,X,X,X
States,New York City,2021,44,X,X,X,X,X,X
States,Alabama,2021,45,568,0,0,0,0,0
States,Alaska,2021,45,X,X,X,X,X,X
States,Arizona,2021,45,403,0,1,0.25,0,0.25
States,Arkansas,2021,45,331,0,0,0,0,0
States,California,2021,45,6096,33,1,0.56,0.54,0.02
States,Colorado,2021,45,2314,5,1,0.26,0.22,0.04
States,Connecticut,2021,45,774,9,0,1.16,1.16,0
States,Delaware,2021,45,X,X,X,X,X,X
States,District of Columbia,2021,45,X,X,X,X,X,X
States,Florida,2021,45,901,20,1,2.33,2.22,0.11
States,Georgia,2021,45,1652,29,9,2.3,1.76,0.54
States,Hawaii,2021,45,466,0,0,0,0,0
States,Idaho,2021,45,168,0,0,0,0,0
States,Illinois,2021,45,312,3,0,0.96,0.96,0
States,Indiana,2021,45,550,0,1,0.18,0,0.18
States,Iowa,2021,45,1265,3,0,0.24,0.24,0
States,Kansas,2021,45,179,0,0,0,0,0
States,Kentucky,2021,45,1359,0,0,0,0,0
States,Louisiana,2021,45,208,0,0,0,0,0
States,Maine,2021,45,310,3,0,0.97,0.97,0
States,Maryland,2021,45,679,0,0,0,0,0
States,Massachusetts,2021,45,1087,35,1,3.31,3.22,0.09
States,Michigan,2021,45,705,3,1,0.57,0.43,0.14
States,Minnesota,2021,45,3276,4,0,0.12,0.12,0
States,Mississippi,2021,45,49,0,0,0,0,0
States,Missouri,2021,45,1995,4,0,0.2,0.2,0
States,Montana,2021,45,800,1,0,0.13,0.13,0
States,Nebraska,2021,45,216,0,0,0,0,0
States,Nevada,2021,45,X,X,X,X,X,X
States,New Hampshire,2021,45,X,X,X,X,X,X
States,New Jersey,2021,45,X,X,X,X,X,X
States,New Mexico,2021,45,3865,3,2,0.13,0.08,0.05
States,New York,2021,45,5471,34,2,0.66,0.62,0.04
States,North Carolina,2021,45,X,X,X,X,X,X
States,North Dakota,2021,45,X,X,X,X,X,X
States,Ohio,2021,45,1366,16,1,1.24,1.17,0.07
States,Oklahoma,2021,45,825,0,0,0,0,0
States,Oregon,2021,45,4080,2,3,0.12,0.05,0.07
States,Pennsylvania,2021,45,542,3,0,0.55,0.55,0
States,Rhode Island,2021,45,X,X,X,X,X,X
States,South Carolina,2021,45,467,14,0,3,3,0
States,South Dakota,2021,45,1394,2,1,0.22,0.14,0.07
States,Tennessee,2021,45,57,0,0,0,0,0
States,Texas,2021,45,5676,25,2,0.48,0.44,0.04
States,Utah,2021,45,X,X,X,X,X,X
States,Vermont,2021,45,157,0,2,1.27,0,1.27
States,Virginia,2021,45,570,25,1,4.56,4.39,0.18
States,Washington,2021,45,1793,1,4,0.28,0.06,0.22
States,West Virginia,2021,45,1513,1,1,0.13,0.07,0.07
States,Wisconsin,2021,45,7973,8,1,0.11,0.1,0.01
States,Wyoming,2021,45,X,X,X,X,X,X
States,Puerto Rico,2021,45,0,0,0,0,0,0
States,Virgin Islands,2021,45,X,X,X,X,X,X
States,New York City,2021,45,X,X,X,X,X,X
States,Alabama,2021,46,754,1,1,0.27,0.13,0.13
States,Alaska,2021,46,X,X,X,X,X,X
States,Arizona,2021,46,451,1,0,0.22,0.22,0
States,Arkansas,2021,46,363,0,0,0,0,0
States,California,2021,46,5890,46,4,0.85,0.78,0.07
States,Colorado,2021,46,2375,13,0,0.55,0.55,0
States,Connecticut,2021,46,898,14,0,1.56,1.56,0
States,Delaware,2021,46,X,X,X,X,X,X
States,District of Columbia,2021,46,X,X,X,X,X,X
States,Florida,2021,46,933,13,1,1.5,1.39,0.11
States,Georgia,2021,46,1078,32,8,3.71,2.97,0.74
States,Hawaii,2021,46,502,0,0,0,0,0
States,Idaho,2021,46,185,0,2,1.08,0,1.08
States,Illinois,2021,46,262,1,0,0.38,0.38,0
States,Indiana,2021,46,623,9,0,1.44,1.44,0
States,Iowa,2021,46,1295,4,0,0.31,0.31,0
States,Kansas,2021,46,185,0,0,0,0,0
States,Kentucky,2021,46,1389,8,0,0.58,0.58,0
States,Louisiana,2021,46,238,2,0,0.84,0.84,0
States,Maine,2021,46,387,4,0,1.03,1.03,0
States,Maryland,2021,46,998,1,0,0.1,0.1,0
States,Massachusetts,2021,46,1094,27,1,2.56,2.47,0.09
States,Michigan,2021,46,952,7,0,0.74,0.74,0
States,Minnesota,2021,46,4262,5,1,0.14,0.12,0.02
States,Mississippi,2021,46,69,3,0,4.35,4.35,0
States,Missouri,2021,46,2540,4,1,0.2,0.16,0.04
States,Montana,2021,46,854,2,0,0.23,0.23,0
States,Nebraska,2021,46,467,0,0,0,0,0
States,Nevada,2021,46,X,X,X,X,X,X
States,New Hampshire,2021,46,X,X,X,X,X,X
States,New Jersey,2021,46,X,X,X,X,X,X
States,New Mexico,2021,46,3942,6,0,0.15,0.15,0
States,New York,2021,46,5207,53,7,1.15,1.02,0.13
States,North Carolina,2021,46,X,X,X,X,X,X
States,North Dakota,2021,46,X,X,X,X,X,X
States,Ohio,2021,46,7084,118,1,1.68,1.67,0.01
States,Oklahoma,2021,46,816,1,0,0.12,0.12,0
States,Oregon,2021,46,4233,4,1,0.12,0.09,0.02
States,Pennsylvania,2021,46,627,5,0,0.8,0.8,0
States,Rhode Island,2021,46,X,X,X,X,X,X
States,South Carolina,2021,46,627,17,3,3.19,2.71,0.48
States,South Dakota,2021,46,1354,4,1,0.37,0.3,0.07
States,Tennessee,2021,46,60,1,1,3.33,1.67,1.67
States,Texas,2021,46,6207,103,6,1.76,1.66,0.1
States,Utah,2021,46,X,X,X,X,X,X
States,Vermont,2021,46,248,5,0,2.02,2.02,0
States,Virginia,2021,46,655,23,1,3.66,3.51,0.15
States,Washington,2021,46,1753,3,0,0.17,0.17,0
States,West Virginia,2021,46,1483,1,0,0.07,0.07,0
States,Wisconsin,2021,46,8625,111,5,1.34,1.29,0.06
States,Wyoming,2021,46,X,X,X,X,X,X
States,Puerto Rico,2021,46,0,0,0,0,0,0
States,Virgin Islands,2021,46,X,X,X,X,X,X
States,New York City,2021,46,X,X,X,X,X,X
States,Alabama,2021,47,692,1,0,0.14,0.14,0
States,Alaska,2021,47,X,X,X,X,X,X
States,Arizona,2021,47,504,4,0,0.79,0.79,0
States,Arkansas,2021,47,32,0,0,0,0,0
States,California,2021,47,6528,73,4,1.18,1.12,0.06
States,Colorado,2021,47,2194,9,1,0.46,0.41,0.05
States,Connecticut,2021,47,916,35,1,3.93,3.82,0.11
States,Delaware,2021,47,X,X,X,X,X,X
States,District of Columbia,2021,47,X,X,X,X,X,X
States,Florida,2021,47,620,9,1,1.61,1.45,0.16
States,Georgia,2021,47,1476,61,4,4.4,4.13,0.27
States,Hawaii,2021,47,470,0,1,0.21,0,0.21
States,Idaho,2021,47,218,1,0,0.46,0.46,0
States,Illinois,2021,47,202,7,0,3.47,3.47,0
States,Indiana,2021,47,589,9,0,1.53,1.53,0
States,Iowa,2021,47,1278,24,0,1.88,1.88,0
States,Kansas,2021,47,177,0,0,0,0,0
States,Kentucky,2021,47,1397,13,0,0.93,0.93,0
States,Louisiana,2021,47,200,10,0,5,5,0
States,Maine,2021,47,278,6,0,2.16,2.16,0
States,Maryland,2021,47,1177,4,0,0.34,0.34,0
States,Massachusetts,2021,47,1151,35,0,3.04,3.04,0
States,Michigan,2021,47,1082,18,0,1.66,1.66,0
States,Minnesota,2021,47,3344,8,0,0.24,0.24,0
States,Mississippi,2021,47,89,3,0,3.37,3.37,0
States,Missouri,2021,47,2462,19,1,0.81,0.77,0.04
States,Montana,2021,47,774,5,0,0.65,0.65,0
States,Nebraska,2021,47,426,2,0,0.47,0.47,0
States,Nevada,2021,47,X,X,X,X,X,X
States,New Hampshire,2021,47,X,X,X,X,X,X
States,New Jersey,2021,47,X,X,X,X,X,X
States,New Mexico,2021,47,3736,29,1,0.8,0.78,0.03
States,New York,2021,47,4864,59,0,1.21,1.21,0
States,North Carolina,2021,47,X,X,X,X,X,X
States,North Dakota,2021,47,X,X,X,X,X,X
States,Ohio,2021,47,8937,264,4,3,2.95,0.04
States,Oklahoma,2021,47,722,4,0,0.55,0.55,0
States,Oregon,2021,47,4009,9,4,0.32,0.22,0.1
States,Pennsylvania,2021,47,653,11,0,1.68,1.68,0
States,Rhode Island,2021,47,X,X,X,X,X,X
States,South Carolina,2021,47,822,40,2,5.11,4.87,0.24
States,South Dakota,2021,47,1084,2,1,0.28,0.18,0.09
States,Tennessee,2021,47,79,0,0,0,0,0
States,Texas,2021,47,5581,110,8,2.11,1.97,0.14
States,Utah,2021,47,X,X,X,X,X,X
States,Vermont,2021,47,264,7,0,2.65,2.65,0
States,Virginia,2021,47,544,24,0,4.41,4.41,0
States,Washington,2021,47,1767,6,1,0.4,0.34,0.06
States,West Virginia,2021,47,1340,10,1,0.82,0.75,0.07
States,Wisconsin,2021,47,8189,311,4,3.85,3.8,0.05
States,Wyoming,2021,47,X,X,X,X,X,X
States,Puerto Rico,2021,47,0,0,0,0,0,0
States,Virgin Islands,2021,47,X,X,X,X,X,X
States,New York City,2021,47,X,X,X,X,X,X
States,Alabama,2021,48,1045,3,0,0.29,0.29,0
States,Alaska,2021,48,X,X,X,X,X,X
States,Arizona,2021,48,504,17,0,3.37,3.37,0
States,Arkansas,2021,48,368,3,0,0.82,0.82,0
States,California,2021,48,8185,167,11,2.17,2.04,0.13
States,Colorado,2021,48,2524,32,0,1.27,1.27,0
States,Connecticut,2021,48,1296,112,0,8.64,8.64,0
States,Delaware,2021,48,X,X,X,X,X,X
States,District of Columbia,2021,48,X,X,X,X,X,X
States,Florida,2021,48,1155,39,3,3.64,3.38,0.26
States,Georgia,2021,48,1627,78,7,5.22,4.79,0.43
States,Hawaii,2021,48,444,0,0,0,0,0
States,Idaho,2021,48,260,0,1,0.38,0,0.38
States,Illinois,2021,48,295,10,0,3.39,3.39,0
States,Indiana,2021,48,842,22,0,2.61,2.61,0
States,Iowa,2021,48,1658,47,0,2.83,2.83,0
States,Kansas,2021,48,218,1,0,0.46,0.46,0
States,Kentucky,2021,48,1934,47,0,2.43,2.43,0
States,Louisiana,2021,48,266,6,1,2.63,2.26,0.38
States,Maine,2021,48,438,14,0,3.2,3.2,0
States,Maryland,2021,48,1124,19,0,1.69,1.69,0
States,Massachusetts,2021,48,1951,106,0,5.43,5.43,0
States,Michigan,2021,48,1438,31,0,2.16,2.16,0
States,Minnesota,2021,48,4823,135,1,2.82,2.8,0.02
States,Mississippi,2021,48,75,3,0,4,4,0
States,Missouri,2021,48,4071,96,0,2.36,2.36,0
States,Montana,2021,48,932,17,1,1.93,1.82,0.11
States,Nebraska,2021,48,582,11,1,2.06,1.89,0.17
States,Nevada,2021,48,X,X,X,X,X,X
States,New Hampshire,2021,48,X,X,X,X,X,X
States,New Jersey,2021,48,X,X,X,X,X,X
States,New Mexico,2021,48,4607,101,1,2.21,2.19,0.02
States,New York,2021,48,6106,172,3,2.87,2.82,0.05
States,North Carolina,2021,48,X,X,X,X,X,X
States,North Dakota,2021,48,X,X,X,X,X,X
States,Ohio,2021,48,2554,141,4,5.68,5.52,0.16
States,Oklahoma,2021,48,837,8,0,0.96,0.96,0
States,Oregon,2021,48,4670,7,7,0.3,0.15,0.15
States,Pennsylvania,2021,48,913,46,1,5.15,5.04,0.11
States,Rhode Island,2021,48,X,X,X,X,X,X
States,South Carolina,2021,48,1383,66,4,5.06,4.77,0.29
States,South Dakota,2021,48,1285,10,0,0.78,0.78,0
States,Tennessee,2021,48,91,11,1,13.19,12.09,1.1
States,Texas,2021,48,7179,222,14,3.29,3.09,0.2
States,Utah,2021,48,X,X,X,X,X,X
States,Vermont,2021,48,356,10,1,3.09,2.81,0.28
States,Virginia,2021,48,338,22,0,6.51,6.51,0
States,Washington,2021,48,2225,13,1,0.63,0.58,0.04
States,West Virginia,2021,48,1742,21,0,1.21,1.21,0
States,Wisconsin,2021,48,11443,448,8,3.98,3.92,0.07
States,Wyoming,2021,48,X,X,X,X,X,X
States,Puerto Rico,2021,48,0,0,0,0,0,0
States,Virgin Islands,2021,48,X,X,X,X,X,X
States,New York City,2021,48,X,X,X,X,X,X
States,Alabama,2021,49,675,7,0,1.04,1.04,0
States,Alaska,2021,49,X,X,X,X,X,X
States,Arizona,2021,49,502,12,0,2.39,2.39,0
States,Arkansas,2021,49,351,8,1,2.56,2.28,0.28
States,California,2021,49,8221,177,2,2.18,2.15,0.02
States,Colorado,2021,49,2438,45,0,1.85,1.85,0
States,Connecticut,2021,49,1450,155,0,10.69,10.69,0
States,Delaware,2021,49,X,X,X,X,X,X
States,District of Columbia,2021,49,X,X,X,X,X,X
States,Florida,2021,49,368,12,0,3.26,3.26,0
States,Georgia,2021,49,1710,149,3,8.89,8.71,0.18
States,Hawaii,2021,49,576,1,0,0.17,0.17,0
States,Idaho,2021,49,230,1,2,1.3,0.43,0.87
States,Illinois,2021,49,342,16,0,4.68,4.68,0
States,Indiana,2021,49,854,33,2,4.1,3.86,0.23
